epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2543296455736354,0.9068890500362582,0.1403389542053143,0.9458333333333333
1,0.12655990034574136,0.9545564418660866,0.18739372033936283,0.9375
2,0.09255613168881176,0.9660623640319072,0.11669092662729479,0.9541666666666667
3,0.07421129005523261,0.9730722745951172,0.14773751709920666,0.9583333333333334
4,0.06950855447865927,0.9768431230360164,0.22792130894958973,0.95
5,0.061549743447418565,0.9784384819917815,0.09965394002695878,0.9666666666666667
6,0.05334016791099567,0.9818225767464346,0.07242620081524365,0.975
7,0.049208563260607116,0.9834662799129804,0.06970161657469968,0.9708333333333333
8,0.04502590079601899,0.9841914430746918,0.09244328908001383,0.9625
9,0.038855433779680176,0.9859801788735799,0.08125514285469156,0.9625
10,0.0344561134865978,0.9882523567802756,0.10889949540918072,0.95
11,0.032593469282219144,0.9883007009910563,0.12440990073719149,0.9625
12,0.027338265277431134,0.9900894367899444,0.12790406766968468,0.9583333333333334
13,0.02789064244822938,0.990572878897752,0.1504023114833236,0.9583333333333334
14,0.024653186392458233,0.9911046652163403,0.16224455898251713,0.9625
15,0.022892479847285718,0.9918298283780518,0.07429647485120465,0.9791666666666666
16,0.020815320107916185,0.9927967125936669,0.08714050284076318,0.9625
17,0.01856143944087837,0.9934735315445975,0.15027570082384045,0.95
18,0.019154551324610677,0.9937635968092821,0.1457132453409334,0.9625
19,0.014721550936630435,0.9951172347111433,0.1603688609514696,0.95
20,0.018671009024394288,0.9938602852308436,0.15994459226324884,0.9583333333333334
21,0.012244778188759126,0.9956490210297317,0.18400101239479008,0.9458333333333333
22,0.0208633111391627,0.9935218757553783,0.19338563695782796,0.95
23,0.01383509233393851,0.9949238578680203,0.20475313667945252,0.9458333333333333
24,0.015361456937248115,0.9944887599709935,0.14170029945589135,0.9708333333333333
