epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2474134843750567,0.9082910321489002,0.19864080473780632,0.9375
1,0.11952355612291787,0.9587623882040126,0.11252080431828897,0.9666666666666667
2,0.08838638862676455,0.9706550640560793,0.140251793510591,0.9541666666666667
3,0.06810689442416219,0.9778100072516316,0.1274300889732937,0.9583333333333334
4,0.06131526400698252,0.9795987430505197,0.12796769912044206,0.9625
5,0.04687987224723183,0.9843848199178148,0.14052921502540508,0.95
6,0.04005605504956796,0.987768914672468,0.10608391390026857,0.9583333333333334
7,0.0334727521498609,0.9895093062605753,0.1471037377292911,0.9458333333333333
8,0.028891567479038344,0.990572878897752,0.0778277637436986,0.975
9,0.022069087238333524,0.9930867778583514,0.09579339697180937,0.9625
10,0.02090184980274464,0.9932318104906938,0.08395545821016033,0.9625
11,0.01923916876588016,0.9939086294416244,0.1343895096797496,0.9583333333333334
12,0.01573602297231429,0.9954556441866087,0.14476394187659025,0.95
13,0.015374965491762723,0.9948755136572396,0.09909461535668622,0.9583333333333334
14,0.016557592373232816,0.9950205462895818,0.1556876761217912,0.9416666666666667
15,0.013084704845957773,0.9960357747159777,0.10093753784894943,0.975
16,0.010049997503095497,0.9968092820884699,0.11278964734325807,0.9583333333333334
17,0.0077940974823474535,0.997776166304085,0.10696629551239312,0.9583333333333334
18,0.011098527318594497,0.9962291515591007,0.0750020211902059,0.9708333333333333
19,0.011807896316126392,0.9962774957698816,0.16430403416355452,0.9583333333333334
20,0.01311171586484831,0.9955039883973894,0.0889908461443459,0.975
21,0.006676274641513881,0.9980178873579889,0.10237052758263114,0.9625
22,0.008749399919099773,0.9969059705100314,0.141882845297611,0.9458333333333333
23,0.007405881323001366,0.997582789460962,0.1784681612480199,0.95
24,0.007592494686971945,0.9978728547256466,0.12055159235994022,0.975
